flower_order_id,customer_name,customer_email,customer_phone,arrangement_id,quantity,total_amount,delivery_id,occasion,promo_code,discount_amount,order_date,order_status
06d947e4-ccf8-4021-bb53-430c96b21a7f,Kelly Curry,tmartin@example.com,001-928-622-5523x82365,40446816-e765-41e8-a72d-fc54a9e5ffc5,1,5891,c545ec8e-8e4e-47a8-a37a-c90d31722b75,"","",0,2023-09-01T17:14:00,delivered
6343c28b-d5e9-4015-9b1e-ec8653562a42,Melanie Ford,ralph86@example.com,+1-571-334-4478x58412,17d6fec4-ff45-4679-a504-b2db016a9c41,2,14410,b63bdedf-033c-4529-bb24-68d7d52678a5,Valentine's Day,"",0,2023-09-01T19:37:00,delivered
6aa8fcfb-c07f-4679-a754-712c7fc776ef,Amanda Davis,timothy23@example.net,+1-762-801-3879x89698,17d6fec4-ff45-4679-a504-b2db016a9c41,1,7644,a183742e-2185-4c93-a60b-ab14c08e071d,Sympathy,"",0,2023-09-01T20:25:00,confirmed
c9b184b7-5106-4484-b8e4-334a7d02def4,Tristan Todd,erin01@example.org,(941)526-8759x5949,38ceb375-da87-49af-8ffb-aa6cbc1187fc,1,8296,f381101d-75fc-4a63-8172-f758d472e46e,"","",0,2023-09-02T10:30:00,delivered
ae28345b-6751-41b6-84fb-2fa4d1fb3362,Danielle Davis,martinezcatherine@example.org,001-406-235-3336x289,38ceb375-da87-49af-8ffb-aa6cbc1187fc,1,7373,4fa53d48-b867-4542-989d-1e0040c26d85,"",FIRSTORDER,750,2023-09-02T11:33:00,confirmed
52e67326-3b93-437a-9969-193ec22842ba,Carly Kelly,olopez@example.org,+1-522-698-7139x626,38ceb375-da87-49af-8ffb-aa6cbc1187fc,1,8443,62bd367c-33e2-4bd8-b86d-8ba1780fc788,Just Because,"",0,2023-09-02T16:02:00,preparing
2a55adb9-0793-49b9-aacb-cf53df6d1c29,Lauren Wolfe,williambrown@example.org,866-929-4564x22537,38ceb375-da87-49af-8ffb-aa6cbc1187fc,1,8938,93135749-26aa-4568-8383-2c8d65737f9e,"","",0,2023-09-03T14:08:00,confirmed
c651365d-9fe4-4ae7-9dd5-9922493e2f9a,Steven Bishop,haydensally@example.net,(791)229-1621,17d6fec4-ff45-4679-a504-b2db016a9c41,2,13776,b3b604a1-d52d-4079-b411-915b2a503de0,Birthday,"",0,2023-09-03T14:21:00,confirmed
08277b8b-c753-4705-b622-a9748d5e0229,Jennifer Phillips,herreratroy@example.com,(217)613-3488x6958,17d6fec4-ff45-4679-a504-b2db016a9c41,2,12541,c374cebc-63de-416b-9e3f-06c04a07df11,Just Because,FIRSTORDER,1300,2023-09-03T15:05:00,preparing
97154184-4455-4414-9faa-33bd054abbfa,Michael Davis,brenda18@example.net,(686)327-3052x95009,40446816-e765-41e8-a72d-fc54a9e5ffc5,1,5179,79724899-b3ef-4691-9250-81f295b29959,Congratulations,MOTHER10,450,2023-09-03T17:23:00,confirmed
b83c836e-8f74-4a6f-a29c-b7406a0b6415,Randy Davis,etucker@example.org,931-455-7914,40446816-e765-41e8-a72d-fc54a9e5ffc5,2,10496,ff90e1bc-364e-4b46-9331-44b8c173d0cd,Birthday,"",0,2023-09-04T08:16:00,preparing
0cdc348a-3e34-4564-80de-904958988a2d,Tammy George,antoniothompson@example.org,+1-984-694-1413x008,38ceb375-da87-49af-8ffb-aa6cbc1187fc,1,8505,7a56890d-81d4-4e29-bcaf-9d62d2a27741,Just Because,"",0,2023-09-04T09:42:00,confirmed
9df63dd5-231d-4a93-9773-4faebdb2d0e7,Morgan Parker,brownspencer@example.com,905-369-3844x26016,97e6731d-2b41-4482-9210-66789990fe75,1,3886,c1eed03e-d4be-4f9a-9505-b5ca521fb8e6,Just Because,"",0,2023-09-04T11:13:00,delivered
54547503-7a3e-49c1-ac2a-b5819695526a,David Ho,danielramos@example.com,316.937.1453,17d6fec4-ff45-4679-a504-b2db016a9c41,2,14258,b68c264a-991e-44e8-b0ad-cba96b197909,Mother's Day,"",0,2023-09-04T13:39:00,confirmed
30ba7de9-4a71-4a7e-a822-8cfdc395688a,David Erickson,michael42@example.com,(336)984-8882x80202,97e6731d-2b41-4482-9210-66789990fe75,1,3288,461a5d75-1d23-4929-ae49-862ffe64a343,"","",0,2023-09-04T16:37:00,delivered
bc3193d3-db86-4b03-a7fd-1d7e56492a2c,James Shepherd,ugraham@example.net,9242266263,97e6731d-2b41-4482-9210-66789990fe75,1,3067,d8a59fc1-1e1e-4059-ac68-4f48a12e375a,"","",0,2023-09-05T11:51:00,confirmed
2ba6ff35-2766-45bf-af6d-af40afc086a2,Mr. Andres Rosales,deborah70@example.org,889.444.5207,17d6fec4-ff45-4679-a504-b2db016a9c41,1,7595,a6ad21c8-37d7-4aaf-9c10-3f5ae7bd42b7,Thank You,"",0,2023-09-05T17:23:00,delivered
c740dee8-01de-48a2-a629-8f679b0344fd,Jordan Key,thomas51@example.com,906.704.7563x4647,40446816-e765-41e8-a72d-fc54a9e5ffc5,1,4672,d13799ff-2de1-4e24-b74b-06d7dd6f6dfe,"",THANKS10,450,2023-09-06T08:06:00,delivered
3d7c5eee-4616-457b-a4a6-b5d1156fe29a,Kelly Page,boltonlori@example.net,743.502.6989,97e6731d-2b41-4482-9210-66789990fe75,1,3460,8121c2e7-dfb3-4665-b211-4600cc03d34c,Sympathy,FIRSTORDER,250,2023-09-06T08:07:00,delivered
